claim_id	package	manuscript_section	original_claim	recommended_wording	evidence_level	evidence_type	directness	recommended_citations	reviewer_risk	action	notes
C001	sedentary_behavior_pcos_gwas_2026-06-19_021111	Discussion	Sedentary behavior and PCOS share a common genetic architecture.	Sedentary behavior and PCOS may have partly convergent genetic and biological architectures.	C	mixed external context	Indirect; no direct shared causal variant test in inspected evidence	Wang et al. 2022; Liu et al. 2022; Stamou et al. 2024; Zhao et al. 2025	high	revise	Direct horizontal pleiotropy remains unresolved.
C002	sedentary_behavior_pcos_gwas_2026-06-19_021111	Discussion	LST GWAS identified 88 genome-wide significant loci.	Wang et al. identified 99 loci associated with MVPA, LST, and/or sedentary behavior at work.	A	external evidence	Direct for corrected statement	Wang et al. 2022	medium	revise	Do not use 88 LST-specific loci unless verified from full text.
C003	sedentary_behavior_pcos_gwas_2026-06-19_021111	Discussion	LST loci are enriched in skeletal muscle and brain expression.	LST-associated loci showed skeletal-muscle enrichment; brain enrichment requires additional verification.	B	external evidence	Partial; skeletal muscle supported but brain not confirmed	Wang et al. 2022	medium	revise	Remove brain enrichment unless independently verified.
C004	sedentary_behavior_pcos_2026-06-19_005628	Discussion	The LST-PCOS association is BMI-independent.	BMI may partly mediate or confound the LST-PCOS association, so BMI-independent effects should be interpreted cautiously.	E	mixed external context	Unsupported as written	Wang et al. 2022; relevant PCOS MR references from package	medium-high	revise	BMI-independent claim was flagged as not externally supported.
C005	mst1r_sedentary_pcos_2026-06-19_011400	Candidate gene discussion	MST1R has been implicated in ovarian function or PCOS.	MST1R/RON biology supports inflammatory and metabolic plausibility, while present analyses prioritize MST1R for functional follow-up.	C	biological plausibility plus current-study result	Indirect; no direct MST1R-PCOS ovarian evidence found	Wang et al. 2002; Huang et al. 2020; Li et al. 2015; Dapas and Dunaif 2022; Stamou et al. 2024	high	revise	Avoid implying established MST1R ovarian mechanism.
C006	mst1r_sedentary_pcos_2026-06-19_011400	Candidate gene discussion	MAGMA/TWAS-JTI/SMR prioritization establishes MST1R as a pleiotropic node.	MAGMA/TWAS-JTI/SMR prioritization identifies MST1R as a candidate pleiotropic node for functional follow-up.	D	current-study finding	Current-study only; external evidence contextual	Current study plus MST1R/RON biological references	medium	hedge	Keep explicit functional follow-up caveat.
C007	tank_tsku_pcos_2026-06-19_012712	Candidate gene discussion	TSKU evidence is complete enough for final manuscript use.	TSKU remains a candidate requiring rerun PubMed search and direct verification.	E	verification gap	Incomplete due to failed PubMed query	None until rerun completed	high	verify	Status Partial because TSKU search failed / Too Many Requests.
C008	lst_pcos_multisystem_2026-06-19_014935	Discussion	Cerebellar enrichment is externally validated.	Cerebellar enrichment is a present-study signal requiring external validation.	D	current-study finding	Current-study only; external support absent	Current study only	high	cite_current_study_only	Do not present as externally validated.
C009	lst_pcos_multisystem_2026-06-19_014935	Discussion	PI3K-Akt, AMPK, immune, endocrine, and neurobehavioral pathways establish multisystem causality.	External evidence supports plausible multisystem convergence, not established causality.	C	biological plausibility	Indirect pathway-level support	Package reference set	medium	hedge	Use convergence/plausibility language.
C010	sedentary_behavior_pcos_2026-06-19_015320	Discussion	PMOS is a verified concept that can be used in manuscript text.	PCOS has multisystem reproductive, metabolic, inflammatory, and cardiometabolic dimensions.	E	verification gap	PMOS concept not verified	Avoid PMOS unless separately verified	high	remove	Status Partial until PMOS terminology is verified.
C011	sedentary_behavior_pcos_2026-06-19_0155	Results / Discussion	BMI-independent genetic claim is externally supported.	BMI-independent genetic interpretation should be treated as a current-study finding requiring cautious validation.	D	current-study finding	External evidence contextual only	Current study plus PCOS/sedentary context references	medium-high	cite_current_study_only	Do not use external literature as proof of current-study genetic independence.
C012	sedentary_behavior_pcos_2026-06-19_020100	Limitations	Demographic differences between LST and PCOS GWAS populations introduce bias.	Demographic differences may introduce bias; residual age-, sex-, and phenotype-related heterogeneity cannot be excluded.	B	external evidence	Direct for population differences; indirect for actual bias	Wang et al. 2022; Dapas et al. 2020; Zhang et al. 2025	medium	hedge	Ready package uses appropriate cautious wording.
C013	sedentary_behavior_pcos_2026-06-19_020100	Limitations	Propensity score matching is specifically required.	Future studies should use sex- and age-stratified analyses, age adjustment, and other comparability-enhancing approaches where appropriate.	C	methodological plausibility	No dedicated PSM methods citation in package	Wang et al. 2022; Dapas et al. 2020; Zhang et al. 2025	medium	revise	Add a methods citation if PSM remains explicit.
C014	sedentary_behavior_pcos_2026-06-19_004230	Introduction / Discussion	Epidemiological sedentary-PCOS evidence proves direct causal or genetic coupling.	Epidemiological evidence is heterogeneous and supports cautious association/background framing.	B	external evidence	Direct for epidemiological context, not genetic coupling	Package reference set	medium	hedge	Use as background, not proof of shared architecture.
